(-0.28492, 0.248177, 0.936135)
(-0.293126, 0.322439, 0.926279)
(-0.285153, 0.326356, 0.926359)
(0.152141, -0.281305, 0.985155)
(-0.172953, 0.311059, 0.945866)
(0.00140964, 0.383004, 0.93123)
(0.527867, 0.44496, 0.694539)
(0.482006, 0.575204, 0.619997)
(0.469364, 0.143413, 0.887809)
(0.283883, 0.317745, 0.929645)
(0.287199, -0.278856, 0.968776)
(0.278146, -0.214971, 0.967365)
(0.480833, 0.00322242, 0.899135)
(0.172927, 0.305821, 0.947777)
(0.29529, 0.311664, 0.929651)
(0.284683, 0.238918, 0.93902)
(-0.263959, -1.0003, -0.124913)
(-0.141447, -1.0333, -0.0325796)
(0.111637, -1.03714, -0.0313604)
(0.235978, -1.00789, -0.122504)
(-0.163834, -1.03032, 0.0108419)
(-0.171677, -1.02727, 0.0590566)
(0.133685, -1.03484, 0.0122751)
(0.141152, -1.03202, 0.0605636)
(0.167888, -1.011, -0.191072)
(0.254475, -0.959471, -0.311367)
(-0.00263741, -1.05649, -0.0949871)
(-0.195337, -1.00548, -0.192821)
(-0.279156, -0.951365, -0.313938)
(-0.0272051, -1.05611, -0.0951055)
(0.128183, -0.961458, -0.376342)
(-0.00145885, -1.02872, -0.252082)
(-0.152363, -0.957196, -0.377694)
(-0.0260266, -1.02835, -0.2522)
(0.234566, -0.985871, 0.240096)
(0.110922, -1.02599, 0.1522)
(0.133309, -1.02897, 0.108778)
(-0.0034266, -1.05849, 0.0625181)
(-0.164209, -1.02445, 0.107345)
(-0.142162, -1.02215, 0.150981)
(-0.265371, -0.978276, 0.237688)
(-0.0279943, -1.05812, 0.0623998)
(-0.197281, -0.97517, 0.306255)
(-0.0284266, -1.03707, 0.218506)
(0.165944, -0.980688, 0.308005)
(-0.00385885, -1.03744, 0.218625)
(-0.282011, -0.906833, 0.419278)
(-0.15572, -0.904846, 0.484253)
(-0.0284541, -0.990493, 0.37109)
(0.124826, -0.909108, 0.485604)
(0.251619, -0.914939, 0.421849)
(-0.00388643, -0.990867, 0.371208)
(0.171284, -0.887971, -0.508119)
(5.753e-05, -0.976725, -0.402896)
(-0.191941, -0.882453, -0.509869)
(-0.0245102, -0.976352, -0.403014)
(-0.196287, -0.814675, 0.6061)
(-0.0280837, -0.920627, 0.514511)
(0.166938, -0.820193, 0.60785)
(-0.00351602, -0.921, 0.514629)
(0.210168, -0.793699, -0.627385)
(0.0018744, -0.901779, -0.543717)
(-0.226793, -0.787062, -0.62949)
(-0.0226933, -0.901405, -0.543836)
(-0.232021, -0.705525, 0.713023)
(-0.0273245, -0.829188, 0.645236)
(0.204939, -0.712162, 0.715128)
(-0.00275677, -0.829561, 0.645355)
(0.243877, -0.680965, -0.731202)
(0.00394703, -0.805726, -0.671078)
(-0.25606, -0.673371, -0.733611)
(-0.0206207, -0.805353, -0.671196)
(-0.262042, -0.580082, 0.80239)
(-0.0261951, -0.718427, 0.760049)
(0.237894, -0.587677, 0.804798)
(-0.0106444, -0.4404, 0.959261)
(-0.00162735, -0.7188, 0.760167)
(-0.0247233, -0.591073, 0.85612)
(-0.000155581, -0.591446, 0.856238)
(0.27158, -0.552544, -0.817015)
(0.00622437, -0.690934, -0.781841)
(-0.279022, -0.54418, -0.819668)
(-0.0183434, -0.690561, -0.781959)
(0.00865036, -0.560229, -0.87328)
(-0.0159174, -0.559856, -0.873399)
(0.285611, 0.353662, -0.871998)
(0.0229149, 0.361081, -0.92918)
(-0.264992, 0.362026, -0.874651)
(-0.00165286, 0.361454, -0.929298)
(0.262042, 0.492308, -0.80239)
(0.0246927, 0.501893, -0.854215)
(-0.237894, 0.499902, -0.804798)
(0.000125023, 0.502266, -0.854333)
(0.00338629, 0.465806, 0.904278)
(-0.243877, 0.59319, 0.731202)
(-0.00625493, 0.601754, 0.783746)
(0.25606, 0.585596, 0.73361)
(0.0183128, 0.601381, 0.783864)
(0.0261645, 0.629247, -0.758144)
(0.00159679, 0.62962, -0.758262)
(-0.00397758, 0.716546, 0.672983)
(0.0205901, 0.716173, 0.673101)
(0.232021, 0.61775, -0.713024)
(0.196287, 0.7269, -0.606101)
(0.112727, 0.977003, -0.356001)
(0.0272939, 0.740007, -0.643331)
(-0.204939, 0.624388, -0.715129)
(-0.166938, 0.732418, -0.60785)
(-0.0782323, 0.979904, -0.356921)
(0.00272622, 0.74038, -0.64345)
(-0.210168, 0.705925, 0.627385)
(-0.171284, 0.800196, 0.508119)
(-0.0805173, 1.01554, 0.229779)
(-0.00190495, 0.812598, 0.545622)
(0.226792, 0.699287, 0.62949)
(0.191941, 0.794678, 0.509869)
(0.110441, 1.01264, 0.230699)
(0.0226628, 0.812225, 0.545741)
(0.266779, 0.981462, -0.243207)
(0.14357, 1.02533, -0.1565)
(0.198689, 0.978356, -0.311774)
(0.0298554, 0.993789, -0.374796)
(-0.164536, 0.983873, -0.313524)
(-0.233158, 0.989056, -0.245615)
(-0.109514, 1.02918, -0.157719)
(0.00528768, 0.994162, -0.374914)
(0.165618, 1.02764, -0.112864)
(0.173085, 1.03045, -0.0645756)
(0.0298278, 1.04036, -0.222212)
(-0.131901, 1.03216, -0.114297)
(-0.139744, 1.03521, -0.0660826)
(0.00526011, 1.04074, -0.22233)
(-0.132276, 1.03802, -0.017794)
(-0.110229, 1.04033, 0.0258414)
(-0.23457, 1.01108, 0.116985)
(-0.16648, 1.01418, 0.185553)
(0.0028601, 1.03202, 0.248376)
(0.00482786, 1.06179, -0.0662239)
(0.196745, 1.00867, 0.187302)
(0.265367, 1.00348, 0.119394)
(0.142855, 1.03648, 0.0270606)
(0.165242, 1.0335, -0.0163608)
(0.0274278, 1.03164, 0.248494)
(0.0293956, 1.06141, -0.0661055)
(0.00403866, 1.05978, 0.0912813)
(0.0286064, 1.05941, 0.0913997)
(0.900762, -0.383855, -0.270281)
(0.910312, 0.232971, -0.307706)
(0.973143, -0.0971108, -0.309084)
(0.974275, -0.0969145, -0.30556)
(0.973742, -0.0584563, -0.311429)
(0.974873, -0.05826, -0.307905)
(0.955711, 0.25008, -0.0141317)
(1.02315, -0.0400671, 0.00425889)
(0.946161, -0.366745, 0.0232937)
(1.02255, -0.0787216, 0.00660422)
(1.02313, -0.0398424, 0.0079581)
(1.02253, -0.0784969, 0.0103034)
(0.766722, -0.397876, -0.535566)
(0.830616, -0.112019, -0.591168)
(0.776272, 0.21895, -0.572992)
(0.831214, -0.0733648, -0.593513)
(0.828449, -0.112168, -0.594171)
(0.829048, -0.0735135, -0.596516)
(0.557162, -0.407435, -0.746595)
(0.60562, -0.122333, -0.818563)
(0.566713, 0.209391, -0.78402)
(0.606218, -0.0836783, -0.820908)
(0.602631, -0.122419, -0.820752)
(0.603229, -0.0837648, -0.823097)
(0.292597, -0.411598, -0.88271)
(0.0111652, -0.416828, -0.943144)
(0.321312, -0.126845, -0.965486)
(0.0137071, -0.264264, -0.989711)
(0.302147, 0.205228, -0.920136)
(0.0208746, 0.210278, -0.981193)
(0.32191, -0.0881908, -0.967831)
(0.317792, -0.126861, -0.966646)
(0.0186223, 0.0531978, -1.00897)
(0.318391, -0.0882066, -0.968991)
(0.57962, 0.15444, 0.833313)
(0.574786, -0.157817, 0.852259)
(0.5844, -0.0011948, 0.852762)
(0.762375, -0.330098, 0.580403)
(0.823762, -0.0390826, 0.609186)
(0.898476, -0.348222, 0.316419)
(0.97183, -0.0588005, 0.321991)
(0.771925, 0.286728, 0.542978)
(0.824361, -0.000428138, 0.60684)
(0.825952, -0.0392975, 0.606203)
(0.908026, 0.268604, 0.278994)
(0.972428, -0.020146, 0.319645)
(0.970671, -0.0585694, 0.325503)
(0.82655, -0.000642981, 0.603858)
